source;intermediate;destination;with_ixp;percentage;total_paths;provider;avg_path_length;avg_latency;destination_countries;ids
3209: Vodafone Germany;(6830: Liberty Global), (6453: Tata Communications);14061: DigitalOcean;0;0.712;562;DigitalOcean;11.5;('GB', 31.0),('NL', 42.667);('NL', 3),('GB', 1);[390761, 527304, 632508, 632876]
3209: Vodafone Germany;(9009: M247), (1299: Telia Carrier);14061: DigitalOcean;0;0.356;562;DigitalOcean;9.0;('DE', 27.5),('NL', 40.0);('DE', 1),('NL', 1);[390464, 390657]
3209: Vodafone Germany;(13194: UAB "Bite Lietuva");14061: DigitalOcean;0;0.356;562;DigitalOcean;5.0;('NL', 142.0);('NL', 2);[414418, 414531]
3209: Vodafone Germany;(3320: Deutsche Telekom), (3356: Level 3 AS 3356);14061: DigitalOcean;0;0.356;562;DigitalOcean;8.0;('NL', 42.0),('DE', 53.0);('DE', 1),('NL', 1);[632687, 632825]
3209: Vodafone Germany;(1299: Telia Carrier);14061: DigitalOcean;0;0.178;562;DigitalOcean;7.0;('NL', 38.5);('NL', 1);[88782]
3209: Vodafone Germany;(8422: NetCologne);14061: DigitalOcean;0;0.178;562;DigitalOcean;3.0;('DE', 29.0);('DE', 1);[632673]
3209: Vodafone Germany;(6830: Liberty Global), (33915: Vodafone Libertel B.V.), (6830: Liberty Global), (3356: Level 3 AS 3356);14061: DigitalOcean;0;0.178;562;DigitalOcean;10.0;('DE', 34.5);('DE', 1);[642918]
3209: Vodafone Germany;(8881: 1&1 Versatel Deutschland GmbH);14061: DigitalOcean;1;1.423;562;DigitalOcean;5.62;('NL', 26.75),('GB', 28.25),('DE', 32.25);('NL', 4),('DE', 2),('GB', 2);[343887, 344080, 458562, 458775, 527117, 527250, 527265, 527385]
3209: Vodafone Germany; ;14061: DigitalOcean;1;0.356;562;DigitalOcean;4.5;('DE', 65.5);('DE', 2);[4425, 467587]
3209: Vodafone Germany;(9158: Telenor Denmark), (2119: Telenor (Norway/Sweden));14061: DigitalOcean;1;0.356;562;DigitalOcean;9.5;('GB', 58.0),('DE', 68.5);('DE', 1),('GB', 1);[114590, 114592]
3209: Vodafone Germany;(9158: Telenor Denmark);14061: DigitalOcean;1;0.356;562;DigitalOcean;5.5;('NL', 51.75);('NL', 2);[114624, 114626]
3209: Vodafone Germany;(39706: Unknown), (6805: Telefónica Germany GmbH & Co. OHG);14061: DigitalOcean;1;0.178;562;DigitalOcean;7.0;('DE', 466.5);('DE', 1);[4414]
3209: Vodafone Germany;(12693: e.discom Telekommunikation GmbH);14061: DigitalOcean;1;0.178;562;DigitalOcean;7.0;('GB', 45.0);('GB', 1);[4614]
3209: Vodafone Germany;(9145: EWETel);14061: DigitalOcean;1;0.178;562;DigitalOcean;7.0;('DE', 59.0);('DE', 1);[43501]
3209: Vodafone Germany;(6805: Telefónica Germany GmbH & Co. OHG);14061: DigitalOcean;1;0.178;562;DigitalOcean;6.0;('DE', 27.5);('DE', 1);[214236]
