source;intermediate;destination;with_ixp;percentage;total_paths;provider;avg_path_length;avg_latency;destination_countries;ids
5416: Batelco;(6453: Tata Communications), (35819: Etihad Etisalat Company (Mobily));31898: Oracle Cloud Infrastructure;0;0.35;1713;Oracle;7.83;('SA', 149.75);('SA', 6);[673360, 673361, 673362, 673365, 673367, 673368]
5416: Batelco;(6453: Tata Communications), (6619: Samsung SDS);31898: Oracle Cloud Infrastructure;0;0.292;1713;Oracle;13.4;('KR', 349.667);('KR', 5);[673420, 673421, 673422, 673423, 673424]
5416: Batelco;(2914: NTT Global IP Network);31898: Oracle Cloud Infrastructure;0;0.234;1713;Oracle;5.75;('JP', 217.5);('JP', 4);[336794, 336795, 383960, 383972]
5416: Batelco;(39273: Kalaam Telecom Bahrain), (31452: ZAIN Bahrain), (35819: Etihad Etisalat Company (Mobily));31898: Oracle Cloud Infrastructure;0;0.175;1713;Oracle;9.0;('SA', 155.167);('SA', 3);[142216, 142234, 516586]
5416: Batelco; ;31898: Oracle Cloud Infrastructure;0;0.175;1713;Oracle;3.0;('IN', 428.75),('KR', 599.5);('IN', 2),('KR', 1);[267651, 378955, 447703]
5416: Batelco;(39273: Kalaam Telecom Bahrain), (5416: Batelco), (6453: Tata Communications);31898: Oracle Cloud Infrastructure;0;0.117;1713;Oracle;15.0;('JP', 651.0),('KR', 654.0);('JP', 1),('KR', 1);[141801, 142150]
5416: Batelco;(35819: Etihad Etisalat Company (Mobily));31898: Oracle Cloud Infrastructure;0;0.117;1713;Oracle;5.0;('SA', 68.333);('SA', 2);[142259, 330843]
5416: Batelco;(51375: stc Bahrain), (6453: Tata Communications);31898: Oracle Cloud Infrastructure;0;0.117;1713;Oracle;11.0;('IN', 63.75);('IN', 2);[267519, 267689]
5416: Batelco;(51375: stc Bahrain), (39386: Saudi Telecom Company (STC IGW)), (2914: NTT Global IP Network);31898: Oracle Cloud Infrastructure;0;0.117;1713;Oracle;13.5;('JP', 200.25);('JP', 2);[267595, 267714]
5416: Batelco;(23860: Alliance Broadband Services Pvt Ltd), (9498: Bharti Airtel), (6453: Tata Communications);31898: Oracle Cloud Infrastructure;0;0.117;1713;Oracle;7.0;('JP', 154.75);('JP', 2);[448279, 448384]
5416: Batelco;(9498: Bharti Airtel);31898: Oracle Cloud Infrastructure;0;0.117;1713;Oracle;4.0;('IN', 84.5);('IN', 2);[448316, 448346]
5416: Batelco;(39273: Kalaam Telecom Bahrain), (5416: Batelco), (8966: Emirates Telecommunications Corporation (Etisalat)), (9498: Bharti Airtel);31898: Oracle Cloud Infrastructure;0;0.117;1713;Oracle;12.0;('IN', 150.25);('IN', 2);[516365, 516449]
5416: Batelco;(8966: Emirates Telecommunications Corporation (Etisalat)), (35819: Etihad Etisalat Company (Mobily));31898: Oracle Cloud Infrastructure;0;0.058;1713;Oracle;10.0;('SA', 75.0);('SA', 1);[203899]
5416: Batelco;(25019: Saudi Telecom Company (STC SAUDINET)), (9318: SK Broadband), (23930: IP Converge Data Services, Inc.);31898: Oracle Cloud Infrastructure;0;0.058;1713;Oracle;9.0;('KR', 347.0);('KR', 1);[203998]
5416: Batelco;(25019: Saudi Telecom Company (STC SAUDINET)), (9318: SK Broadband);31898: Oracle Cloud Infrastructure;0;0.058;1713;Oracle;8.0;('KR', 344.0);('KR', 1);[267730]
5416: Batelco;(39386: Saudi Telecom Company (STC IGW)), (6762: Telecom Italia Sparkle), (35819: Etihad Etisalat Company (Mobily));31898: Oracle Cloud Infrastructure;0;0.058;1713;Oracle;13.0;('SA', 156.5);('SA', 1);[267793]
5416: Batelco;(39386: Saudi Telecom Company (STC IGW)), (3356: Level 3 AS 3356), (35819: Etihad Etisalat Company (Mobily));31898: Oracle Cloud Infrastructure;0;0.058;1713;Oracle;12.0;('SA', 140.0);('SA', 1);[267819]
